symbol,code,name,current,percent,high52w,low52w,marketcapital,amount,volume,pe_ttm
SZ000001,SZ000001,平安银行,15.6,1.8,20.5,12.3,3000000000,25000000,1600000,8.5
SH600000,SH600000,浦发银行,11.52,-1.54,14.3644,8.9098,383683257216.0,1161931513.0,100248709,7.854
SH600004,SH600004,白云机场,9.58,-2.24,10.41,8.1986,22673161151.0,216733694.0,22410421,16.749
SH600006,SH600006,东风股份,7.35,-4.42,8.94,6.3956,14700000000.0,354473549.0,47429700,59.917
SH600007,SH600007,中国国贸,20.97,0.1,23.9592,19.8424,21122714738.0,69459269.0,3302236,17.839
SH600008,SH600008,首创环保,3.04,-2.88,3.4,2.7483,22315395658.0,394279670.0,128186130,13.081
SH600009,SH600009,上海机场,32.01,-1.75,35.9717,29.2104,79650900410.0,500827850.0,15526725,33.66
SH600010,SH600010,包钢股份,2.41,-4.74,3.07,1.6182,109145572629.0,1878194463.0,766809345,107.676
SH600011,SH600011,华能国际,7.72,-1.78,8.49,5.9268,121189280731.0,503148577.0,64672359,8.321
SH600012,SH600012,皖通高速,15.27,-0.26,17.9076,12.73,26090198145.0,87187835.0,5685511,14.951
SH600015,SH600015,华夏银行,6.99,-1.69,8.72,6.43,111245349991.0,716242677.0,101248537,4.098
SH600016,SH600016,民生银行,4.11,-2.14,5.4384,3.5522,179945740043.0,2324312299.0,559153254,5.929
SH600017,SH600017,日照港,3.04,-3.18,3.5157,2.7741,9349987820.0,123670459.0,40081000,17.173
SH600018,SH600018,上港集团,5.52,-1.43,6.0141,5.1661,128513136246.0,223020524.0,40117383,8.914
SH600019,SH600019,宝钢股份,7.27,-2.68,7.83,6.2083,158355756125.0,915176375.0,124840200,16.776
SH600020,SH600020,中原高速,4.46,-2.62,4.9563,3.7003,10023278371.0,82757621.0,18352737,9.841
SH600021,SH600021,上海电力,24.0,-4.34,31.78,8.0743,67708450680.0,1559782592.0,63997873,25.677
SH600022,SH600022,山东钢铁,1.49,-3.25,1.77,1.22,15941285835.0,217164579.0,144176364,
SH600023,SH600023,浙能电力,5.04,-1.56,5.6951,4.7728,67580013055.0,310161655.0,61092028,9.273
SH600025,SH600025,华能水电,9.47,-0.63,10.21,8.2913,176436462614.0,262971531.0,27747860,20.49
SH600026,SH600026,中远海能,12.39,-2.36,13.75,9.5404,67714086195.0,550788070.0,43696157,20.502
SH600027,SH600027,华电国际,5.1,-1.35,5.8783,4.6681,59220048338.0,417671883.0,81478669,8.994
SH600028,SH600028,中国石化,5.97,-1.32,6.5173,5.0466,723430353777.0,1543544974.0,257512756,20.067
SH600029,SH600029,南方航空,7.08,-1.67,7.49,5.35,128296117685.0,393468077.0,55175895,
SH600030,SH600030,中信证券,27.3,-3.53,32.53,23.593,404600928432.0,4693752816.0,169503916,14.417
SH600031,SH600031,三一重工,20.26,-2.88,23.97,14.7306,184487333838.0,1120543519.0,54819544,22.381
SH600032,SH600032,浙江新能,7.51,-3.96,,,18059111683.0,93736159.0,12256895,33.693
SH600033,SH600033,福建高速,3.59,-2.45,4.0335,3.34,9852396000.0,202165047.0,55584901,12.176
SH600035,SH600035,楚天高速,4.0,-1.72,4.6944,3.9152,6440463604.0,88557698.0,22015100,9.565
SH600036,SH600036,招商银行,43.0,-0.53,46.5371,34.3541,1084453360843.0,3414438913.0,79126405,7.279
SH600037,SH600037,歌华有线,7.43,-1.98,9.79,6.3172,10340909678.0,139532833.0,18595800,
SH600038,SH600038,中直股份,35.55,-1.69,41.5,33.2049,29147203722.0,324469802.0,9086382,51.017
SH600039,SH600039,四川路桥,9.19,-1.5,10.05,6.455,79912478028.0,194928645.0,21060430,10.329
SH600048,SH600048,保利发展,6.93,-1.98,10.2296,6.86,82955172887.0,887232561.0,126738095,
SH600050,SH600050,中国联通,5.38,-2.0,6.7123,4.5524,168202608259.0,1645747407.0,303543696,17.774
SH600051,SH600051,宁波联合,7.53,-5.16,8.8035,5.4198,2340926400.0,89452264.0,11729297,25.112
SH600052,SH600052,东望时代,4.5,-6.05,5.8768,3.5062,3798876335.0,94465530.0,20573100,
SH600053,SH600053,九鼎投资,18.2,-5.99,22.55,11.0,7890442560.0,113234817.0,6105745,
SH600054,SH600054,黄山旅游,11.1,-2.29,13.3,10.3425,8096111784.0,75355650.0,6739728,28.547
SH600055,SH600055,万东医疗,16.03,-2.26,19.135,13.6466,11270068760.0,121452748.0,7517700,782.219
SH600056,SH600056,中国医药,10.7,-4.04,12.4588,9.446,16005913304.0,326396862.0,30027632,31.179
SH600057,SH600057,厦门象屿,8.34,-1.65,9.25,5.2979,23690515087.0,173540398.0,20645911,10.955
SH600058,SH600058,五矿发展,8.46,-7.34,10.77,6.22,9068364615.0,179366316.0,20651451,87.761
SH600059,SH600059,古越龙山,9.14,-3.59,11.6477,7.9669,8331497655.0,142360339.0,15328200,40.485
SH600060,SH600060,海信视像,24.79,-1.0,26.68,17.6932,32350262177.0,308582971.0,12306648,12.616
SH600061,SH600061,国投资本,7.28,-3.58,8.76,6.2944,46548197747.0,374521103.0,50754730,13.427
SH600062,SH600062,华润双鹤,18.51,-2.06,22.0249,16.9113,19227401492.0,184805952.0,9918557,12.168
SH600063,SH600063,皖维高新,5.91,-8.09,7.21,3.6593,12228419114.0,673512295.0,111551432,22.255
SH600064,SH600064,南京高科,8.43,-2.99,9.47,6.308,14586763199.0,213008515.0,24978528,6.273
SH600066,SH600066,宇通客车,30.59,-1.64,33.5,19.6495,67724400832.0,436281388.0,14240521,13.608
SH600067,SH600067,冠城新材,3.92,-4.85,5.15,1.8429,5455341457.0,260821672.0,65373677,
SH600071,SH600071,凤凰光学,20.4,-2.72,25.79,16.44,5744107336.0,90396345.0,4386334,91.429
SH600072,SH600072,中船科技,12.5,2.71,15.4142,11.1241,18782803950.0,831727940.0,66653775,
SH600073,SH600073,光明肉业,6.7,-2.76,8.5869,6.0811,6282787462.0,135289715.0,19940101,2306.097
SH600075,SH600075,新疆天业,4.9,-5.04,5.63,3.9313,8366081674.0,175900859.0,35290549,127.669
SH600076,SH600076,康欣新材,2.76,-4.83,3.27,1.68,3710939693.0,114878427.0,40923946,
SH600078,SH600078,澄星股份,11.42,-10.01,13.99,4.46,7729202873.0,961527453.0,81589316,
SH600079,SH600079,人福医药,19.16,-2.89,25.5078,19.0767,31273449489.0,469942453.0,24315882,21.891
SH600080,SH600080,金花股份,8.33,-4.14,8.96,6.204,3109341474.0,365835160.0,43549217,39.699
SH600081,SH600081,东风科技,11.97,-2.52,16.5419,9.3173,6619723255.0,53791723.0,4452111,126.348
SH600082,SH600082,海泰发展,4.71,-4.85,5.68,2.37,3043205540.0,94769213.0,19704600,50.356
SH600084,SH600084,中信尼雅,5.63,-1.92,6.59,4.65,6326582053.0,38268490.0,6719700,533.107
SH600085,SH600085,同仁堂,33.65,-1.95,42.4124,32.845,46149974316.0,374448386.0,11054090,34.09
SH600088,SH600088,中视传媒,16.09,0.56,22.076,14.9602,6399095976.0,85888704.0,5398529,
SH600089,SH600089,特变电工,21.42,-7.71,27.45,10.6337,108230816871.0,7024304507.0,320499456,20.346
SH600094,SH600094,大名城,4.2,0.24,5.92,2.88,9764790189.0,288134259.0,67899466,
SH600095,SH600095,湘财股份,11.21,-3.36,14.57,6.43,32051494599.0,417638607.0,36791417,79.079
SH600096,SH600096,云天化,30.85,-4.78,37.81,19.2583,56239264051.0,2030002269.0,64948747,9.975
SH600097,SH600097,开创国际,12.89,-4.87,15.72,8.6615,3105672246.0,531796700.0,40706498,29.486
SH600098,SH600098,广州发展,6.65,-3.48,7.38,5.6391,23314002124.0,191951471.0,28507600,10.12
SH600099,SH600099,林海股份,10.41,-4.93,12.18,7.7796,2281039200.0,55043218.0,5188500,110.078
SH600100,SH600100,同方股份,8.32,-4.7,10.22,6.12,27874476972.0,896675520.0,105817208,164.703
SH600101,SH600101,明星电力,8.9,-6.12,13.3446,7.8306,4875975992.0,283462083.0,31218530,29.807
SH600103,SH600103,青山纸业,3.42,-6.3,4.94,1.9094,7663627475.0,609365337.0,174087208,121.636
SH600104,SH600104,上汽集团,14.7,-2.13,21.1946,13.8511,168980579309.0,824826194.0,55714434,59.088
SH600105,SH600105,永鼎股份,13.66,-5.79,16.68,4.3345,19970848995.0,1849548643.0,132617926,59.935
