symbol,code,name,current,chg,percent,last_close,open,high,low,volume,amount,marketcapital,pe_ttm,high52w,low52w,hasexist,stock_type,crawl_time
SH600000,SH600000,浦发银行,11.52,-0.18,-1.54,11.7,11.7,11.74,11.5,100248709,1161931513.0,383683257216.0,7.854,14.3644,8.9098,false,sha,2025-11-22 12:31:52
SH600004,SH600004,白云机场,9.58,-0.22,-2.24,9.8,9.75,9.8,9.58,22410421,216733694.0,22673161151.0,16.749,10.41,8.1986,false,sha,2025-11-22 12:31:52
SH600006,SH600006,东风股份,7.35,-0.34,-4.42,7.69,7.58,7.64,7.35,47429700,354473549.0,14700000000.0,59.917,8.94,6.3956,false,sha,2025-11-22 12:31:52
SH600007,SH600007,中国国贸,20.97,0.02,0.1,20.95,20.94,21.18,20.85,3302236,69459269.0,21122714738.0,17.839,23.9592,19.8424,false,sha,2025-11-22 12:31:52
SH600008,SH600008,首创环保,3.04,-0.09,-2.88,3.13,3.12,3.13,3.04,128186130,394279670.0,22315395658.0,13.081,3.4,2.7483,false,sha,2025-11-22 12:31:52
SH600009,SH600009,上海机场,32.01,-0.57,-1.75,32.58,32.35,32.71,32.0,15526725,500827850.0,79650900410.0,33.66,35.9717,29.2104,false,sha,2025-11-22 12:31:52
SH600010,SH600010,包钢股份,2.41,-0.12,-4.74,2.53,2.5,2.51,2.41,766809345,1878194463.0,109145572629.0,107.676,3.07,1.6182,false,sha,2025-11-22 12:31:52
SH600011,SH600011,华能国际,7.72,-0.14,-1.78,7.86,7.81,7.86,7.71,64672359,503148577.0,121189280731.0,8.321,8.49,5.9268,false,sha,2025-11-22 12:31:52
SH600012,SH600012,皖通高速,15.27,-0.04,-0.26,15.31,15.4,15.49,15.23,5685511,87187835.0,26090198145.0,14.951,17.9076,12.73,false,sha,2025-11-22 12:31:52
SH600015,SH600015,华夏银行,6.99,-0.12,-1.69,7.11,7.11,7.15,6.98,101248537,716242677.0,111245349991.0,4.098,8.72,6.43,false,sha,2025-11-22 12:31:52
SH600016,SH600016,民生银行,4.11,-0.09,-2.14,4.2,4.19,4.24,4.11,559153254,2324312299.0,179945740043.0,5.929,5.4384,3.5522,false,sha,2025-11-22 12:31:52
SH600017,SH600017,日照港,3.04,-0.1,-3.18,3.14,3.12,3.14,3.04,40081000,123670459.0,9349987820.0,17.173,3.5157,2.7741,false,sha,2025-11-22 12:31:52
SH600018,SH600018,上港集团,5.52,-0.08,-1.43,5.6,5.58,5.6,5.51,40117383,223020524.0,128513136246.0,8.914,6.0141,5.1661,false,sha,2025-11-22 12:31:52
SH600019,SH600019,宝钢股份,7.27,-0.2,-2.68,7.47,7.42,7.45,7.26,124840200,915176375.0,158355756125.0,16.776,7.83,6.2083,false,sha,2025-11-22 12:31:52
SH600020,SH600020,中原高速,4.46,-0.12,-2.62,4.58,4.57,4.58,4.45,18352737,82757621.0,10023278371.0,9.841,4.9563,3.7003,false,sha,2025-11-22 12:31:52
SH600021,SH600021,上海电力,24.0,-1.09,-4.34,25.09,24.5,24.83,24.0,63997873,1559782592.0,67708450680.0,25.677,31.78,8.0743,false,sha,2025-11-22 12:31:52
SH600022,SH600022,山东钢铁,1.49,-0.05,-3.25,1.54,1.54,1.54,1.48,144176364,217164579.0,15941285835.0,0.0,1.77,1.22,false,sha,2025-11-22 12:31:52
SH600023,SH600023,浙能电力,5.04,-0.08,-1.56,5.12,5.12,5.12,5.03,61092028,310161655.0,67580013055.0,9.273,5.6951,4.7728,false,sha,2025-11-22 12:31:52
SH600025,SH600025,华能水电,9.47,-0.06,-0.63,9.53,9.5,9.53,9.43,27747860,262971531.0,176436462614.0,20.49,10.21,8.2913,false,sha,2025-11-22 12:31:52
SH600026,SH600026,中远海能,12.39,-0.3,-2.36,12.69,12.79,12.91,12.38,43696157,550788070.0,67714086195.0,20.502,13.75,9.5404,false,sha,2025-11-22 12:31:52
SH600027,SH600027,华电国际,5.1,-0.07,-1.35,5.17,5.15,5.16,5.09,81478669,417671883.0,59220048338.0,8.994,5.8783,4.6681,false,sha,2025-11-22 12:31:52
SH600028,SH600028,中国石化,5.97,-0.08,-1.32,6.05,6.05,6.09,5.93,257512756,1543544974.0,723430353777.0,20.067,6.5173,5.0466,false,sha,2025-11-22 12:31:52
SH600029,SH600029,南方航空,7.08,-0.12,-1.67,7.2,7.17,7.23,7.05,55175895,393468077.0,128296117685.0,0.0,7.49,5.35,false,sha,2025-11-22 12:31:52
SH600030,SH600030,中信证券,27.3,-1.0,-3.53,28.3,28.01,28.25,27.3,169503916,4693752816.0,404600928432.0,14.417,32.53,23.593,false,sha,2025-11-22 12:31:52
